voterIds,owner
4,0x1711bc52bf7e0494325799717fe640F1924617B7
3,0x0692Ee6b5c88870DA8105aFEAA834A20091a29Ff
11,0x28de46689b899af843Ec549199AD70a75ad4d960
1,0x012CAe16d4c2C4EA8D1DAbAA193f0ac5a5F33c47
1,0x0533D40c4b884240a74a418687F456C3BAb3faD3
1,0xC654c5575D4dcD174d107751521C51e67156dCD3
3,0x51BD9fd860223EF52cF77b517EbaB5cA58dc1c63
1,0x96427109835D2CB6ba483A351C576B127Cb28a41
1,0x60e081483227593ef2e95534224225852751B1D9
1,0xDB016D3722Fcf9D3760F7b09cfC6ca8558BA2f4A
1,0xFd42AD1fF493EEb0cF9A6D58F02642fb76755849
5,0xF512147180ebF2273636Eb2A8547424F90410D51
2,0x079Baec14d71Cba0faDfb790B3B97E94c239A3CC
1,0x9773d0dA32f0Ef40F3346dFD02f9BAF9f945BbA0
3,0xB3f31aD589Ba65df22ED16341EA623b685DD78E5
1,0x1b0f1838C48Ee8F0D3f0D0375A2e991e17cD2fd3
1,0xAE8a89c737E7423Def56F6e39bf4052B112D6078
1,0x5eE42438d0D8fc399C94ef3543665E993e847b49
1,0x0681a3B84e057ac4985eb706b3D2152EfBcD3673
1,0x88529D2289d47E9339938F25f2e56a33c91671Cb
1,0xe27b99d96EdFD17cC7BB57805e5CdEc755078f5e
2,0xf2362004DF8393dabFfb01e3bABE5b4bcA27f6E3
3,0xe93F001Cc9a2B773e5CB846fF72039E244047bb5
1,0x107667669226323C18a90fFAc0B48A3E21DA4054
2,0x4536d5A1a3E53F40FA2cC1dA8c562acD80F59551
1,0x3b9E9D3A0C69E01b8d73A8f31EEA4A243B2a7F44
1,0xDFE7ad3E0cc6fb0798e66C67C72927C49fc42478
1,0xD8eFc644edbec77577aB3618a5Bc919FB05b6dE3
1,0xaC58Aa71114E895AC395cdD0E3391d3eCFFB6fbc
1,0x45056428DF708045C4Ac6c197Fbc3039D2527555
1,0x0e215D573dc571191bEF806941C70964f3846c35
5,0x4EA4A38e351Ae6e4d29F19a173986A178144132f
1,0x911C88b144FBE4d6350dc0161D731243A2e7a258
1,0x4995c93767eEb943a0707efc6a6b3BDDbBE6622F
1,0x9640Eee1459447cAd51e07E3a35996A2e32E22de
1,0x1dbDb0FD326AC5de423467b88d07CCFe666670E0
1,0x66E7AD0249092298680dD28aACf76265D87fb38A
2,0x2CcDe611A35Aa395c8aEb2bAbB4E25C835CA1760
1,0xa32cc2f7BaE31c79aB75D0bc39182fd113c53790
2,0x8450E3092b2c1C4AafD37cB6965cFCe03cd5fB6D
1,0xFdc82c10b7feC382135837Ac3E586a514b89fDb0
1,0xaB796F11D234Ecf96DbcBAb7e46b15cdE1f1EfF8
1,0x3Cf089A30C57852200bB458f528726C1b1bE3164
1,0x23a38ED9CC8347e667676Cc2546DDA6A7447e795
1,0x57a255806937783c7A7139d8b0b8e46178f50960
1,0x8F909A2E37480A3607DcA6Ac7efF5C29377DD71e
1,0xb35E80f24dA704C86F37Dc345FbBb0e6E09c850b
3,0x76Ac38f789645d2bf08274CbAfCf82174781fC48
10,0xAe22A659B0b58F4C61a6Aaf7fC0fe7b1f7Fa59fC
